typedef struct {
    int pid;
    char process_name[20];
    char user_id[20];
    int ppid;
    E_etat etat; // one of the values in the enum e_etat
    int prioritie; // priorities from 1 to 5 ; 1-critical

    INSTRUCTION* instructions;
    long programme_compteur; // max 9,223,372,036,854,775,807 instruction
    int memoire_necessaire; // en MB
    INSTRUCTION* current_instruction; // l'instruction en train de s executer

    int burst_time; // total temps necessaire en ms pour l'exec . burst = compte_temps + temps_restant
    float cpu_time_used; // temps cpu consomme en ms init 0
    int remaining_time; // temps restant : = burst - cpu_time_used
    int cpu_usage; // initialized as 0

    PROCESS_STATISTICS* statistics; 

    int* pid_childrens;
    PCB* pid_sibling_next; // pointeur vers next sib
    PCB* pid_sibling_previous; // pointeur vers previous sib
} PCB;



process_name(20),user_id(20),priority(from 1 to 5),[instruction max 20000 3char each shouldnt have spaces](string),n_instruction(int),memoire(int),burst(float),


PROC01,USER01,1,[AAA],1,256,1.0,6372.3
PROC02,USER02,2,[AAA.BBB],2,512,2.5,10.5
PROC03,USER03,3,[AAA.BBB.CCC],3,1024,3.2,25.3
PROC04,USER04,4,[AAA.BBB.CCC.DDD],4,2048,4.8,42.7
PROC05,USER05,5,[AAA.BBB.CCC.DDD.EEE],5,4096,6.0,75.2
PROC06,USER06,1,[AAA.BBB.CCC],3,768,2.1,115.5
PROC07,USER07,2,[AAA.BBB.CCC],3,1024,3.0,150.8
PROC08,USER08,3,[AAA.BBB.CCC.DDD],4,2048,4.3,190.1
PROC09,USER09,4,[AAA.BBB.CCC.DDD],4,3072,5.6,234.6
PROC10,USER10,5,[AAA.BBB.CCC.DDD.EEE],5,512,1.5,284.3
PROC11,USER11,1,[AAA.BBB],2,256,1.8,339.0
PROC12,USER12,2,[AAA.BBB.CCC.DDD],4,1024,4.4,398.7
PROC13,USER13,3,[AAA.BBB.CCC],3,1536,3.7,463.4
PROC14,USER14,4,[AAA.BBB.CCC.DDD],4,2048,5.1,533.1
PROC15,USER15,5,[AAA.BBB.CCC.DDD],4,4096,6.9,607.8
PROC16,USER16,1,[AAA],1,128,0.9,687.5
PROC17,USER17,2,[AAA.BBB.CCC],3,768,2.6,772.2
PROC18,USER18,3,[AAA.BBB.CCC],3,1024,3.3,861.9
PROC19,USER19,4,[AAA.BBB.CCC.DDD],4,2048,4.9,956.6
PROC20,USER20,5,[AAA.BBB.CCC.DDD],4,8192,8.2,1056.3
PROC21,USER21,1,[AAA.BBB],2,512,1.7,1161.0
PROC22,USER22,2,[AAA.BBB.CCC.DDD],4,1024,3.9,1270.7
PROC23,USER23,3,[AAA.BBB],2,768,2.2,1385.4
PROC24,USER24,4,[AAA.BBB.CCC.DDD],4,2048,4.6,1505.1
PROC25,USER25,5,[AAA.BBB.CCC],3,4096,6.4,1629.8
PROC26,USER26,1,[AAA.BBB],2,256,1.3,1759.5
PROC27,USER27,2,[AAA.BBB.CCC],3,1024,3.5,1894.2
PROC28,USER28,3,[AAA.BBB.CCC.DDD],4,1536,4.7,2033.9
PROC29,USER29,4,[AAA.BBB.CCC],3,2048,4.0,2178.6
PROC30,USER30,5,[AAA.BBB.CCC.DDD],4,8192,9.1,2328.3
PROC31,USER31,1,[AAA.BBB.CCC.DDD.EEE],5,512,2.9,2483.0
PROC32,USER32,2,[AAA.BBB.CCC],3,1024,3.1,2642.7
PROC33,USER33,3,[AAA.BBB.CCC],3,1536,3.8,2807.4
PROC34,USER34,4,[AAA.BBB.CCC],3,2048,4.5,2977.1
PROC35,USER35,5,[AAA.BBB.CCC.DDD],4,4096,6.8,3151.8
PROC36,USER36,1,[AAA],1,256,1.1,3331.5
PROC37,USER37,2,[AAA.BBB.CCC],3,768,2.4,3516.2
PROC38,USER38,3,[AAA.BBB.CCC],3,1024,3.6,3705.9
PROC39,USER39,4,[AAA.BBB.CCC],3,2048,4.2,3900.6
PROC40,USER40,5,[AAA.BBB.CCC.DDD.EEE],5,8192,9.5,4100.3
PROC41,USER41,1,[AAA],1,128,0.8,4305.0
PROC42,USER42,2,[AAA.BBB],2,512,1.9,4514.7
PROC43,USER43,3,[AAA.BBB.CCC],3,1024,3.4,4729.4
PROC44,USER44,4,[AAA.BBB.CCC],3,2048,4.1,4949.1
PROC45,USER45,5,[AAA.BBB.CCC],3,4096,6.1,5173.8
PROC46,USER46,1,[AAA.BBB],2,256,1.2,5403.5
PROC47,USER47,2,[AAA.BBB.CCC],3,768,2.8,5638.2
PROC48,USER48,3,[AAA.BBB.CCC],3,1024,3.9,5877.9
PROC49,USER49,4,[AAA.BBB.CCC.DDD],4,2048,4.7,6122.6
